timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,geo_country,asn
2026-09-01T02:14:01,103.22.11.4,45.9.148.2,51413,8333,tx0001,1A1zP1eP5QGefi2DMPTfTL5,1BvBMSEYstWetqTFn5Au4m,0.85,0.83,IN,AS9829
2026-09-01T02:14:55,45.9.148.2,103.22.11.4,8333,51413,tx0002,1BvBMSEYstWetqTFn5Au4m,1FfmbHfnpaZjKFvyi1okTj,0.83,0.81,IN,AS9829
2026-09-01T02:15:40,45.9.148.2,178.62.3.9,8333,8333,tx0003,1FfmbHfnpaZjKFvyi1okTj,1P3RG3G5FQCTFEDh9CGVKA;1JwSSubhmg6iPtRjtyqhUY;1McVt1vMtCC6iLHfMY;1Btc1DXo9j5NavC;1KvA1r1oM3f4X2Nj;1DcSj9ZzM2RvxfLE;1EhqbyUMvvs7BfL;1AWKA6R6cSw3nEo;1QGxk5D9V4rE5Pn;1FfKbBn9dK2vWl,0.81,0.081;0.081;0.081;0.081;0.081;0.081;0.081;0.081;0.081;0.081,NL,AS60781
2026-09-01T02:16:02,178.62.3.9,91.198.174.2,8333,8333,tx0004,1P3RG3G5FQCTFEDh9CGVKA,1KvXn4h1cP9jUyZ2mR,0.081,0.079,DE,AS3320
2026-09-01T03:02:11,192.168.44.1,103.22.11.4,51413,8333,tx0005,1KvXn4h1cP9jUyZ2mR,1A1zP1eP5QGefi2DMPTfTL5,0.079,0.077,IN,AS9829
2026-09-01T05:44:20,66.220.2.6,66.220.2.7,8333,8333,tx0006,3FzScn724foolsC,3Gv92NkjjxbBiG,1.5,1.48,US,AS15169
2026-09-01T05:45:03,66.220.2.7,66.220.2.8,8333,8333,tx0007,3Gv92NkjjxbBiG,3HxK2mRp1D9v,1.48,1.46,US,AS15169
2026-09-01T05:46:14,66.220.2.8,66.220.2.9,8333,8333,tx0008,3HxK2mRp1D9v,3JmYq7Wz2Nf,1.46,1.44,DE,AS3320
2026-09-01T05:46:59,66.220.2.9,66.220.2.10,8333,8333,tx0009,3JmYq7Wz2Nf,3KtRq9Xf1Zp,1.44,1.42,RU,AS12389
2026-09-01T05:47:40,66.220.2.10,66.220.2.11,8333,8333,tx0010,3KtRq9Xf1Zp,3LvNb2Cq9Yh,1.42,1.40,IN,AS9829
2026-09-01T08:12:00,88.198.1.4,88.198.1.5,8333,8333,tx0011,bc1qar0srrr7xfkvy5l643lydnw9re59gtzzwf5mdq,bc1q9d9dqk5x4v3xz2t,0.02,0.019,GB,AS24940
2026-09-01T08:13:30,88.198.1.5,88.198.1.6,8333,8333,tx0012,bc1q9d9dqk5x4v3xz2t,bc1qxyz0m5j6h,0.019,0.0185,GB,AS24940
2026-09-01T09:00:00,45.33.32.156,45.33.32.157,8333,8333,tx0013,1EYTGtG4LnFxh,1FvW2rE9nKp,0.5,0.49,IN,AS63949
2026-09-01T09:01:15,45.33.32.157,45.33.32.158,8333,8333,tx0014,1FvW2rE9nKp,1GhTr4Nq2Vs,0.49,0.48,IN,AS63949
2026-09-01T12:30:00,159.65.1.2,159.65.1.3,8333,8333,tx0015,1QGxk5D9V4rE5Pn,1McVt1vMtCC6iLHfMY,0.081,0.079,SC,AS14061
2026-09-01T12:31:20,159.65.1.3,159.65.1.4,8333,8333,tx0016,1McVt1vMtCC6iLHfMY,1JwSSubhmg6iPtRjtyqhUY,0.079,0.078,VG,AS20473
2026-09-01T12:32:45,159.65.1.4,159.65.1.5,8333,8333,tx0017,1JwSSubhmg6iPtRjtyqhUY,1Btc1DXo9j5NavC,0.078,0.077,PA,AS27715
2026-09-01T15:00:00,203.0.113.5,203.0.113.6,8333,8333,tx0018,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,1NxRbXjbNmVWuTv,0.3,0.29,IN,AS45609
2026-09-01T15:05:00,203.0.113.6,203.0.113.7,8333,8333,tx0019,1NxRbXjbNmVWuTv,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,0.29,0.28,IN,AS45609
2026-09-01T18:22:00,172.16.5.9,172.16.5.10,8333,8333,tx0020,1TzWkP4uYaR5,1UjX9nQeR3v,0.12,0.118,IN,AS9829
