entity,label,anomaly_type
113jA79rzFZFDYru2PkUERL7eH0328,anomalous,layering
116VLJwR5UGUquivDMnHaeKC1Q0158,normal,none
11CPLoh4RhySTPvVMMYrUfMPL70344,anomalous,circular_flow
11HN4cqsVGbFtSVaHzX1WPJ9Eb0233,normal,none
11V1UrfXDs2C6MB9rYiXkkSq6w0102,normal,none
11WCdfjgaoNsr5Nbuyo6n4qjzq0165,normal,none
11cqf9XGxtBWwrie3kU6FYjWcs0004,normal,none
11k47TE33y2dSZzdSR1tjiLRiH0248,anomalous,rapid_movement
11qYf6q6nJtLHeMNdJadngoLJx0257,normal,none
11wvT8cYvTs5jEbvEzk9R7hYDf0267,normal,none
12GFhFxByZF3Jb7A7g62TKawrY0016,normal,none
12GPqQiXqKyF7nYHALdV7GWja50178,normal,none
12K7PkB814oC7yNSJ9hfNN7ZTz0330,anomalous,layering
12tUmi2LiNbWeusLT5o3StvKx70123,normal,none
12twD1E4i6DtjP9hJhpS9jrTQY0147,normal,none
13StpQmHrZSZeG6C5k7DjZMLuQ0271,normal,none
13oi6zLxtAka1Nd78VWvzr5apX0287,normal,none
14BjbpVSF49gaFNePNGdtFHUCX0042,normal,none
14GU927KPKSiFTj4wzHtFvfF4P0028,normal,none
14GXAJCsYcSZpzVUYXiDr4ay3t0203,normal,none
14HJsBmgVAxXgsxNpddVhHmSkS0307,normal,none
14WYEQq1zGSyMaF46a5hN8yQnD0312,normal,none
14hQxWNwiDhyPPYFwEoXfUgtZ30121,normal,none
14mNGbhSPPKPVKXeh1dKgxP7gL0074,normal,none
14oM2wNoU3b69xYFhajfEPSBJd0229,anomalous,peeling_chain
14ym1zXmb7cQkXZuMkA4fTZnfY0278,normal,none
151CwHarxq4wYPg1bd8u77RqQ10230,normal,none
15XYCsNRKWpTEfYCaEL9viLaKx0213,normal,none
15crD3XEiLJ49vhy3udCbqSLxH0296,normal,none
15k8yJSJLhN597zfwghitiTfPZ0125,normal,none
15n21szBupzQn5137uKMBW4Evu0240,anomalous,rapid_movement
15nAvqYRqD9nJEkypGprjUhw2J0272,normal,none
15tc9GBzKMz5rn7JuRj8nLF8nF0186,anomalous,peeling_chain
16B1Mwy5KgkJVCXFBh92UsNZBE0128,normal,none
16VuHKFv9SSZJmqSr8LtcAusMB0072,normal,none
16ZbPi9k3ryJR7ppJ2TEnEymdS0256,normal,none
16bWro3Q5q2Pfpu7FHG8jjTUnf0238,normal,none
16szMEnLR52u5qo4zXSPBcvLGx0262,normal,none
17G1Gr1BgE5XCg63ocXbUZa7of0205,normal,none
17Jd8oJKfsSoJ8qmktVCaaPeGc0018,normal,none
17KtKqCC3XkV1vaoNCeyaSUBnc0320,anomalous,layering
17LXqGSCszr6hLYcbQZ2bsuE7Q0174,normal,none
17eYYFk9oZ1VwVt3wFm4PiFxuM0169,normal,none
17mT8R1szQKdWkDPDxQenc3zqJ0099,normal,none
18JgZ9ebtKtfFKkhdQPZnFuCUJ0096,normal,none
18Jwm8KuyAvL9DXzx6NrxJFxPk0176,normal,none
18KhR7FbqEMERTU9qZDRqjxZG90179,normal,none
18Mg2N8BrMoUstkm81s43zAZ3c0172,normal,none
18R3G3s58A5mSbvjSZeMWnrAgM0346,anomalous,circular_flow
18W8q8e5jujGqJkqVcrB2SBtsN0022,normal,none
18Xm6qk8Ldop64VE6TnYZcEfx60107,normal,none
18hjzgdHe4U2PFyGpDF3hApM460258,normal,none
18iLx8LmPZG31sobgSX96UzvYa0216,normal,none
18mn92T53SgE6unScLCChxMFX60316,anomalous,layering
18rqYWcqYNFmy1GUCLiFhJZRzV0310,normal,none
196VXpDZmTawwwjb6MNnaEu5Nb0211,normal,none
19QwJ1akkpe8rRrpy1sdVnxW6j0010,normal,none
19RhNjAvfFnQmhg82hE4WwhJPh0087,normal,none
19Upc3pNgeeRQ6ZHPAkvPRU5kt0037,normal,none
19WyUovpdSWGVPFz16CyhtCiNV0003,normal,none
19gELd8G6pPCCRhDCr1c1dGKWB0118,normal,none
19qn2qEtBAFwwf2cJjashKmEPE0098,normal,none
19vPyJnT139bbAxL5ZW7PdQNGP0131,normal,none
1A2GWjaLcs3ESKnhur8tmHMXMQ0250,anomalous,rapid_movement
1AMoFxh4KKazGBkdNhUtvKiWjN0103,normal,none
1AYnfKHEH5AcEw8tqbHSdyHfqx0180,normal,none
1B136pmBkLNWc7uRTMp52bsTDA0292,normal,none
1B4ZAgVo4prPbGZy3ZdHA97oYr0184,normal,none
1B5HJWYTpZkvZoUR3p6rAmyYmu0119,normal,none
1B7HEFK9VLRFiWZtjx3Apazgq90212,normal,none
1BDzQQHZyv1Wt2mRLCg4NDdHRR0269,normal,none
1BpwFzCxw1CaqVJgZaKyLVwRuS0265,normal,none
1BuSqeYG34RUNrz6gjQPNQmt680136,normal,none
1ByjN9EJQ5Qe5jtkPmjPcBo1jS0266,normal,none
1CBaybrmPHmaa3UmpYqoCiuU2y0157,normal,none
1Cf9cdsZPud9coWwokq7Y9w6YL0315,anomalous,layering
1D9mW2JgYjk7rb4xbEz2T3mm6H0066,normal,none
1DAZdwtPAFtTzfb6bPq8CfgqXN0020,normal,none
1EECCuN7BPMJwsazL8G6xDSCyA0011,normal,none
1EJPHn89JnKeBRGLJErbSip9330247,normal,none
1F58qem7coBBemuMGuZE6Aygmm0352,anomalous,circular_flow
