timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,geo_country,asn
2026-09-01T02:41:00,139.59.35.197,13.228.56.254,50818,8333,tx00001,1HpWhdUYzPwnBsPBF8L7YyxwFE0030,1zRHqUpAUomgTpNfYJCXKWhomW0041,0.26591188,0.26325276,IN,AS14061
2026-09-01T10:02:00,13.228.122.143,178.154.229.48,49845,8333,tx00002,1NzQDEi3ysZUmYUKSk42iNo2u80008,1fMrckbm9EhB5ZyJCjFmCBzbHT0057,0.55275427,0.54722673,SG,AS16509
2026-09-01T10:29:00,193.0.6.152,139.59.22.83,63320,8333,tx00003,14GU927KPKSiFTj4wzHtFvfF4P0028,1qb7kcuUBbTfNJ8xkUEdQd6Bj40014,0.14685554,0.14538698,NL,AS3333
2026-09-01T11:29:00,13.228.155.78,88.198.166.189,55365,8333,tx00004,1HpWhdUYzPwnBsPBF8L7YyxwFE0030,14GU927KPKSiFTj4wzHtFvfF4P0028,0.09715857,0.09618698,SG,AS16509
2026-09-01T13:36:00,8.8.8.5,13.228.93.91,60158,8333,tx00005,1o6Tf3dupgoMK5iKsUt9AM2Vef0019,1ozCZ2XqwnHNznuFNpKk84vJBF0073,0.83099626,0.82268630,US,AS15169
2026-09-01T14:18:00,15.188.227.139,88.198.226.41,49197,8333,tx00006,14GU927KPKSiFTj4wzHtFvfF4P0028,1epSfDcECmaN3EoUxur13aLqK90017,0.04901917,0.04852898,FR,AS16509
2026-09-01T14:48:00,18.130.253.153,178.154.136.228,58338,8333,tx00007,14GU927KPKSiFTj4wzHtFvfF4P0028,1rrUwcuxaH9ZCkvFZ3BNtyeaa40007,0.05556424,0.05500860,GB,AS16509
2026-09-01T16:29:00,15.188.91.53,13.228.69.80,57844,8333,tx00008,1PSEeV8p9MBwHsxD21BQAxUr180045,1qb7kcuUBbTfNJ8xkUEdQd6Bj40014,0.17148243,0.16976761,FR,AS16509
2026-09-01T18:07:00,193.0.6.86,13.228.83.242,64462,8333,tx00009,1NzQDEi3ysZUmYUKSk42iNo2u80008,1YDkeuZ8tB4oTe8iQzdwnq6nbP0024,0.26066393,0.25805729,NL,AS3333
2026-09-01T18:34:00,178.154.152.100,18.130.237.37,50678,8333,tx00010,1NzQDEi3ysZUmYUKSk42iNo2u80008,1iY95kCqLY5W2DvySuCbit1bFP0058,0.21354924,0.21141375,RU,AS13238
2026-09-01T18:43:00,18.130.221.221,139.59.14.13,59598,8333,tx00011,14GU927KPKSiFTj4wzHtFvfF4P0028,1KeCBsmbkKiCS9NLRU2LqSY6Py0025,0.01653454,0.01636919,GB,AS16509
2026-09-01T19:29:00,88.198.220.235,18.130.130.87,53584,8333,tx00012,1PSEeV8p9MBwHsxD21BQAxUr180045,1j1V1UrfXDs2C6MB9rYiXkkSq60109,0.10917282,0.10808109,DE,AS24940
2026-09-01T19:56:00,178.154.175.210,13.228.93.68,50862,8333,tx00013,1L4t1PEf2ocQ1SZdP7BXE6PEPd0152,1i9dXqSEP7m9iPZQdmaYgTv6wF0153;1ybr278T2ntJHcs4WCVQP5tRuE0154;1rrmKfPyoQZv3DD2cgCkFtdUVB0155;1GKZUdn3qG7Jmsk36M1CFhcp240156;1isehyDjvuH2n85bTjWBuSqeYG0157;134RUNrz6gjQPNQmt68p8f4S3i0158;1ZQh9dRR3q6JSip6CNW8yHpmuu0159;1gJbBaDbjTmMXEN4wNgmaZoA6p0160;1s3YwTeNZLQopD1x1XXdJ8QyYT0161;13vz4gm6NjsXJgLj1zG77zwUmC0162,3.99808586,0.07996172;0.07996172;0.07996172;0.07996172;0.07996172;0.07996172;0.07996172;0.07996172;0.07996172;3.27843038,RU,AS13238
2026-09-01T20:03:00,193.0.6.69,193.0.6.79,63549,8333,tx00014,13vz4gm6NjsXJgLj1zG77zwUmC0162,1Xz4RiLVBpG3BsWtX1oU785Xg60163;1atuBGfmebKvDeve3CFwKEaSN80164;17Ja2iFhfVdJC1YX7dESUxcCKp0165;18iQuQvAESvtQrgyxpbNap5Nbm0166;1EHPkN6yNdPjkB8J5sx7HxbRAP0167;1LWeSDUbRshtHUAwSp6iStV8nh0168;179Qhn2Lwq4iq3PPnmZX7gUz5g0169;1WYzrPRM1JGXbywhcJHVzkQaE60170;1ZJLq7ciSh6yv8au7oTFzUDdbK0171;1j7cqmAoV6SHuNZdR8yFMMj5Eu0172;1kakLqoViDGd3umJG2MBtwD1E40173;1i6DtjP9hJhpS9jrTQYtJK12by0174,3.27843038,0.06556861;0.06556861;0.06556861;0.06556861;0.06556861;0.06556861;0.06556861;0.06556861;0.06556861;0.06556861;0.06556861;2.55717567,NL,AS3333
2026-09-01T20:10:00,193.0.6.221,18.130.41.73,49970,8333,tx00015,1i6DtjP9hJhpS9jrTQYtJK12by0174,1U6Dd3YX4UM8csHZzroNW4v1330175;1EtvYWLAeaVjGbp3R39QS155ve0176;1KST5FsBNTtwchdWRMfEFdFTs90177;1CyPUkzLVNsu4CdE9tvGcL9t1K0178;13zXpQraE1DzktpdEQCtFo8PRj0179;1Wqd14RCE7yGgB8wVNC94f6yHo0180;1KedNCQLJEoModVir9eGgVGNFg0181;1EsuDoVuYpuoQSJm5AAfT3QyLt0182;1NA3mUpf3bZ9RPcft4iEDMZ2Zp0183;11s8qMNBZECgjxYThevmtgvfY10184,2.55717567,0.05114351;0.05114351;0.05114351;0.05114351;0.05114351;0.05114351;0.05114351;0.05114351;0.05114351;2.09688408,NL,AS3333
